confidence,scale_threshold_px,band,source,candidate,domain,scale_threshold_norm
0.4,,0.13927006617615584,uavdt,uavdt_tiling,normalized,0.015
0.4,,0.4500138730346994,uavdt,uavdt_tiling,normalized,0.02
0.4,,0.4934981849949541,uavdt,uavdt_tiling,normalized,0.03
0.5,,2.963391118926406e-05,uavdt,uavdt_tiling,normalized,0.005
0.5,,0.00036051649650736817,uavdt,uavdt_tiling,normalized,0.0075
0.5,,0.0006324847749218376,uavdt,uavdt_tiling,normalized,0.01
0.5,,0.1296619352896477,uavdt,uavdt_tiling,normalized,0.015
0.5,,0.4516368350057964,uavdt,uavdt_tiling,normalized,0.02
0.5,,0.48977993158209443,uavdt,uavdt_tiling,normalized,0.03
0.1,,4.703001978062504e-05,aitod,aitod_baseline640,normalized,0.005
0.1,,0.0015931168470200152,aitod,aitod_baseline640,normalized,0.0075
0.1,,0.010619890368845586,aitod,aitod_baseline640,normalized,0.01
0.1,,0.10965816966050485,aitod,aitod_baseline640,normalized,0.015
0.1,,0.1626294299524864,aitod,aitod_baseline640,normalized,0.02
0.1,,0.2502485152424888,aitod,aitod_baseline640,normalized,0.03
0.15,,1.029234934635248e-05,aitod,aitod_baseline640,normalized,0.005
0.15,,0.00140632526011647,aitod,aitod_baseline640,normalized,0.0075
0.15,,0.01084256535643191,aitod,aitod_baseline640,normalized,0.01
0.15,,0.12154163903783566,aitod,aitod_baseline640,normalized,0.015
0.15,,0.1817910232591075,aitod,aitod_baseline640,normalized,0.02
0.15,,0.28409730984613646,aitod,aitod_baseline640,normalized,0.03
0.2,,8.52386124269855e-05,aitod,aitod_baseline640,normalized,0.005
0.2,,0.0009435281903820703,aitod,aitod_baseline640,normalized,0.0075
0.2,,0.010280908538010891,aitod,aitod_baseline640,normalized,0.01
0.2,,0.1298684597865296,aitod,aitod_baseline640,normalized,0.015
0.2,,0.19540463192518623,aitod,aitod_baseline640,normalized,0.02
0.2,,0.3095618213882698,aitod,aitod_baseline640,normalized,0.03
0.25,,0.00011188556199692723,aitod,aitod_baseline640,normalized,0.005
0.25,,0.0006674230941709491,aitod,aitod_baseline640,normalized,0.0075
0.25,,0.009759613877129203,aitod,aitod_baseline640,normalized,0.01
0.25,,0.1358844332002785,aitod,aitod_baseline640,normalized,0.015
0.25,,0.20591551263802552,aitod,aitod_baseline640,normalized,0.02
0.25,,0.3303288834765529,aitod,aitod_baseline640,normalized,0.03
0.3,,0.00017004977605883376,aitod,aitod_baseline640,normalized,0.005
0.3,,0.00014645352104675213,aitod,aitod_baseline640,normalized,0.0075
0.3,,0.008778199052012159,aitod,aitod_baseline640,normalized,0.01
0.3,,0.13971918948884743,aitod,aitod_baseline640,normalized,0.015
0.3,,0.21273659669389408,aitod,aitod_baseline640,normalized,0.02
